Mfg_Part_Num,Part_Manuf,Part_Desc,MFR URL,Ref URL 1,Ref URL 2,Ref URL 3
DCB518ASTS06G,Freud Inc (2435),"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",https://diablotools.com/products/DCB518ASTS06G,https://sawbladeother.com/dcb518asts06g,https://www.homedepot.com/b/Tools-Power-Tool-Accessories-Abrasives-Sander-Accessories/6/N-5yc1vZc8xzZ1z10q5r,https://github.com/Biswajeet111/unienrich-ai
3MABR-7100075678,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,https://www.3m.com/3M/en_US/p/d/b40064963/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-150-5-in-x-nh-linered-w-tab-die-500x/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-4/,https://www.3m.com/3M/en_US/p/d/b40064784/
3MABR-7100045865,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l/,https://www.3m.com/3M/en_US/p/d/b40064784/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-120-6-in-x-nh-linered-w-tab-die-600z/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-180-5-in-x-nh-linered-w-tab-die-500x/
3MABR-7100048736,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-4/,https://www.3m.com/3M/en_US/p/d/b40064963/,https://www.3m.com/3M/en_US/p/d/b40064784/,https://allindustrial.com/3m-7100048736-cubitron-ii-stikit-5-diameter-775l-80-grit-precision-shaped-ceramic-film-disc/
3MABR-7100075690,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l/,https://www.3m.com/3M/en_US/p/d/b40064784/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-180-5-in-x-nh-linered-w-tab-die-500x/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-120-6-in-x-nh-linered-w-tab-die-600z/
3MABR-7100075692,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-roll-775l-2/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-roll-775l-320-5-in-x-nh-die-500x/,https://www.supplyhouse.com/3M-7100046309-Cubitron-II-Stikit-Film-Disc-Roll-775L-80-3MIL-6-x-NH-Die-600Z-Pack-of-100,https://www.mpsuppliesusa.com/3m-cubitron-ii-stikit-film-disc-roll-775l-6-in-x-nh-80-c-weight-100-discs-per-roll-4-rolls-per-case-p-45481.aspx
3MABR-7100145365,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,https://jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-80-5-in-x-nh-linered-w-tab-die-500x,https://www.3m.com/3M/en_US/p/d/b40064784/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-120-6-in-x-nh-linered-w-tab-die-600z/,https://www.jamindustrialsupply.com/product/3m-cubitron-ii-stikit-film-disc-775l-180-5-in-x-nh-linered-w-tab-die-500x/
5B-332-080,Mirka Abrasives Inc (MIRUS),"5B-332-080 HIOLIT 5"" P80",https://www.toolsid.com/mirka-abrasives/hiolit-5-80-grit-aluminum-oxide-non-vacuum-psa-disc-mpn-56-332-080.html,https://hartmannvariety.com/56-332-080/,https://timb.ru/catalog/product/shlifovalnaya_lenta_mirka_hiolit_xo_100_610mm_p80/,https://vkvideo.ru/video-158342858_456240217
5B-332-120,Mirka Abrasives Inc (MIRUS),"5B-332-120 HIOLIT 5"" P120",https://beavertools.com/products/5b-332-120-mirka-hiolit-jca2ao-5-psa-tab-p120-qty-50,https://static.richelieu.com/documents/documentsCommandeSpeciale/155/515/4/1555154/pdf_1000380_Fr.pdf,https://www.mirka.com/en-us/p/HIOLIT-JCA2A0-125-----PSA-0/,https://www.mirka.com/en-us/p/HIOLIT-XO--127-3050----0/
9A-570-240,Mirka Abrasives Inc (MIRUS),9A-570-240 Abranet 2.75x30,https://www.smsdistributors.com/products/mirka-2-75-inch-abranet-grip-vacuum-sanding-rolls-dust-free-abrasives,https://www.amazon.com/mirka-abranet/s?k=mirka+abranet,https://www.painterssolutions.com/products/mirka-abranet-2-75x30-mesh-grip-sanding-roll-2,https://2sand.com/mirka-abranet-2-75-x-30-feet-grip-vacuum-sanding-rolls/
